Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Ensheim,Gemeinde,7331019,Rheinland-Pfalz
Enspel,Gemeinde,7143219,Rheinland-Pfalz
Enzen,Gemeinde,7232032,Rheinland-Pfalz
Enzklösterle,Gemeinde,8235025,Baden-Württemberg
Epenwöhrden,Gemeinde,1051028,Schleswig-Holstein
Epfenbach,Gemeinde,8226017,Baden-Württemberg
Epfendorf,Gemeinde,8325015,Baden-Württemberg
Eppelborn,Gemeinde,10043111,Saarland
Eppelheim,Stadt,8226018,Baden-Württemberg
Eppelsheim,Gemeinde,7331020,Rheinland-Pfalz
Eppenberg,Gemeinde,7135026,Rheinland-Pfalz
Eppenbrunn,Gemeinde,7340008,Rheinland-Pfalz
Eppendorf,Gemeinde,14522110,Sachsen
Eppenrod,Gemeinde,7141038,Rheinland-Pfalz
Eppenschlag,Gemeinde,9272116,Bayern
Eppertshausen,Gemeinde,6432005,Hessen
Eppingen,Stadt,8125026,Baden-Württemberg
Eppishausen,Gemeinde,9778134,Bayern
Eppstein,Stadt,6436002,Hessen
Erbach,Stadt,6437006,Hessen
Erbach,Gemeinde,7140037,Rheinland-Pfalz
Erbach,Stadt,8425039,Baden-Württemberg
Erbendorf,Stadt,9377116,Bayern
Erbenhausen,Gemeinde,16066019,Thüringen 
Erbes-Büdesheim,Gemeinde,7331021,Rheinland-Pfalz
Erden,Gemeinde,7231030,Rheinland-Pfalz
Erdesbach,Gemeinde,7336022,Rheinland-Pfalz
Erding,Stadt,9177117,Bayern
Erdmannhausen,Gemeinde,8118014,Baden-Württemberg
Erdweg,Gemeinde,9174118,Bayern
Eresing,Gemeinde,9181118,Bayern
Erfde,Gemeinde,1059024,Schleswig-Holstein
Erftstadt,Stadt,5362020,Nordrhein-Westfalen
Erfurt,Stadt,16051000,Thüringen 
Erfweiler,Gemeinde,7340009,Rheinland-Pfalz
Ergersheim,Gemeinde,9575122,Bayern
Ergeshausen,Gemeinde,7141039,Rheinland-Pfalz
Ergolding,Gemeinde,9274126,Bayern
Ergoldsbach,Gemeinde,9274127,Bayern
Erharting,Gemeinde,9183116,Bayern
Ering,Gemeinde,9277118,Bayern
Eriskirch,Gemeinde,8435013,Baden-Württemberg
Erkelenz,Stadt,5370004,Nordrhein-Westfalen
Erkenbrechtsweiler,Gemeinde,8116018,Baden-Württemberg
Erkerode,Gemeinde,3158012,Niedersachsen
Erkheim,Gemeinde,9778136,Bayern
Erkner,Stadt,12067124,Brandenburg
Erkrath,Stadt,5158004,Nordrhein-Westfalen
Erlabrunn,Gemeinde,9679128,Bayern
Erlangen,Stadt,9562000,Bayern
Erlau,Gemeinde,14522120,Sachsen
Erlbach,Gemeinde,9171115,Bayern
Erlenbach,Gemeinde,8125027,Baden-Württemberg
Erlenbach a. Main,Stadt,9676122,Bayern
Erlenbach b. Marktheidenfeld,Gemeinde,9677125,Bayern
Erlenbach bei Dahn,Gemeinde,7340010,Rheinland-Pfalz
